Major,Courses,
"Ancient Near East and Egyptology BA","Required: Three courses selected from Ancient Near East 10W, 15, Middle Eastern Studies M50A, M50B, Near Eastern Languages M20. Each course must be taken for a letter grade.Required Core Courses: One course selected from four of the following five areas (total of four courses):Required Elective Courses: Any six courses (no more than three may be from Anthropology) selected from the categories above or from Ancient Near East 121A, 121B, 121C, C123A, C123B, 124, 125A, M125B, M125C, C177, Anthropology 110, CM110Q, 111, 112R, 130, 140, English 111A, 111B, 111C, Greek 130, Hebrew 125, 130, 135, 188FL, Study of Religion M186A, M186B, M186C, Semitics 130, 141, 142.",
"Arabic BA","Required: Arabic 1A, 1B, 1C, and History 9D or Middle Eastern Studies 50C.Required: Eleven courses, including (1) Arabic 102A and 102B and 102C or 108, 150 or M151, Islamic Studies M110 and (2) six courses from Anthropology M166Q, Arabic 103A, 103B, 103C, 105, M106, M107, M110, 111A, 111B, 111C, 112A, 112B, 112C, 115, 116A, 116B, 116C, 120, M123, 130, 132, C141, 142, M148, 150 or M151 (unless taken under item 1), M155, M171, 180, 181, Art History 119A, 119B, C120, Comparative Literature 100, History 105A, 105B, 105C, M106, 108B, 111A, 111B, 111C, Islamic Studies 130, 151, Political Science 132A, M132B, 157, 165. No more than one course may be credited through a proficiency test administered by the department. No more than two upper-division 4-unit independent study or directed research courses (197, 199) may be applied toward the major. Other courses, including extra-departmental courses, may be applied with consent of the adviser.",
"Iranian Studies BA","Required: Iranian 1A, 1B, 1C, or equivalent.Required: Eleven courses, including seven in Iranian language and civilization selected from Ancient Near East CM163, Iranian 102A, 102B, 102C, 103A, 103B, 103C, M110A, M110B, M110C, 120, 140, 141, 142, 161A, 161B, 161C, 170 (at least three of the seven must be selected from Iranian 102A, 102B, 102C, 103A, 103B, 103C, 120, 140, 141, 142) and four elective courses from the department or from Art History 119A, 119B, C120, History 105A, 105B, 105C, Political Science 157. A maximum of two Iranian 197 or 199 courses (8 units total) may be applied toward the major.",
"Jewish Studies BA","Required: Jewish Studies M10 or two courses selected from Ancient Near East 10W, Middle Eastern Studies M50A, M50B, 50C and demonstrated proficiency equivalent to level 3 at UCLA in one foreign language (Arabic, Armenian, Hebrew) in consultation with the department.Required: Eleven courses, including (1) three selected from Hebrew 102A, 102B, 102C, 103A, 103B, 103C, 110A, 110B, 111A, 111B, 111C, 120, 125, 130, 135, C140 — students may substitute another upper-division language (Judeo-Arabic, Judeo-Persian, Ladino, Yiddish) if they can demonstrate its integral role in their specific course of study, (2) two courses selected from Jewish Studies M182A, M182B, M182C, M184A, and (3) six elective courses selected from Hebrew or Jewish studies or from Ancient Near East M135, 162, English 111A, 111C, German 109, History 191F, Iranian 130, 131, Political Science 121A, 132A, M132B, Semitics 130, Study of Religion 120, Yiddish 101A, 101B, 101C, 102A, 102B, 102C, 121A, 121B, 121C, 130, 131A, 131B, 131C.",
"Middle Eastern Studies BA","Required: Two courses selected from Ancient Near East 10W, History 9D, Middle Eastern Studies M50A, M50B, 50C and demonstrated proficiency equivalent to level 3 at UCLA in one modern Middle Eastern language (Arabic, Armenian, Hebrew, Persian, Turkish) or through a departmental language placement examination. Students selecting ancient languages (including Akkadian, Aramaic, Coptic, Egyptian, Old or Middle Iranian, Sumerian, Syriac) are not required to take a modern elementary Middle Eastern language.Required Core Courses: A total of six courses, including at least two from three of the following four areas:Required Elective Courses: Any five courses from the department or from Anthropology M166Q, 167, Art History C116A, 119A, 119B, C120, Economics 111, 112, Ethnomusicology 161L, 161N, French 121, 160, History 105A, 105B, 105C, M106, 107A through 107D, 108A, 108B, 109B, M110B, 111A, 111B, 111C, 116A, 116B, 164B, 167A, M184D, M185F, M185G, M185I, Philosophy 104, Political Science 132A, M132B, 157, 165, Study of Religion 120.",
"Italian BA","Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, or 50B.Required: Ten upper-division Italian courses, including 100, 199B (senior capstone course), one medieval to 18th century course from 113 through 118, one Enlightenment to contemporary course from 119 through 125, and six elective courses from 103A through 191. With consent of the undergraduate adviser, students may substitute up to one each of Italian 195 and 199A and an upper-division elective course from outside the department.",
"Italian and Special Fields BA","Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Anthropology 2 or 3, and 4.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Anthropology 100, 111, 130, 136A, 136B, 137P, 137Q, 138P, 140, 143, M145P, M145Q, 147, M150, 151 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Art History 20 or 21, 22, 23.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Art History M113A, M113B, M113C, CM115A through 115E, 121A through 121D, C125A, 127A, 127B, 130, 132, 185 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Classics 10 or 20, 40W or 41W, and Greek 1, 2, 3 or Latin 1, 2, 3, or equivalent.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Greek 100 or Latin 100, two courses from Classics 141 through 197, and two courses from Greek 101A through 133 or Latin 101 through 133 (graduate seminars may be substituted for upper-division author courses) selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; English Composition 3, English 4W, 10A, 10B, 10C.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from English 100 through 113A, 114 through 135, 139 through 183C selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, 46.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Film and Television 106B, 106C, 107, 108, 112, 113, 114 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; French 1, 2, 3, 4, 5, 6, and 12 or 14.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from French 108 through 172 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Gender Studies 10.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Gender Studies 102 through M191E selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46; one course from History 1A, 1B, 1C, 20, 21, 22.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from History 100 through 188 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, Linguistics 20, and three terms of a second foreign language other than Italian.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Linguistics 103, 120A, 120B, and two courses from 110 through 191B selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, two courses from Music History M10A, M10B, M10C.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Musicology 135A, 135B, 135C, 191A through 191G selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; one course from Philosophy 1 through 31.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; two courses from Philosophy 100A, 100B, 100C, and three courses from M101A through 191 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Political Science 10, 20, 30, 40, 50.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Political Science M105 through 179 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 46, 50A, 50B; Portuguese 1, 2, 3, 25 (or 26 or equivalent as determined by placement test), 46.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Portuguese 130A through 191 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 46, 50A, 50B; Spanish 1, 2, 3, 4, 5, 25 (or equivalent as determined by placement test), 42 or 44.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Spanish 120 and four courses from 130 through 191B selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Theater 101A, 101B, and three courses from 102A through M114 selected in consultation with the undergraduate adviser.",
"Italian and Special Fields BA","Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Anthropology 2 or 3, and 4.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Anthropology 100, 111, 130, 136A, 136B, 137P, 137Q, 138P, 140, 143, M145P, M145Q, 147, M150, 151 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Art History 20 or 21, 22, 23.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Art History M113A, M113B, M113C, CM115A through 115E, 121A through 121D, C125A, 127A, 127B, 130, 132, 185 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Classics 10 or 20, 40W or 41W, and Greek 1, 2, 3 or Latin 1, 2, 3, or equivalent.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Greek 100 or Latin 100, two courses from Classics 141 through 197, and two courses from Greek 101A through 133 or Latin 101 through 133 (graduate seminars may be substituted for upper-division author courses) selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; English Composition 3, English 4W, 10A, 10B, 10C.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from English 100 through 113A, 114 through 135, 139 through 183C selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, 46.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Film and Television 106B, 106C, 107, 108, 112, 113, 114 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; French 1, 2, 3, 4, 5, 6, and 12 or 14.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from French 108 through 172 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Gender Studies 10.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Gender Studies 102 through M191E selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46; one course from History 1A, 1B, 1C, 20, 21, 22.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from History 100 through 188 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, Linguistics 20, and three terms of a second foreign language other than Italian.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Linguistics 103, 120A, 120B, and two courses from 110 through 191B selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, two courses from Music History M10A, M10B, M10C.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Musicology 135A, 135B, 135C, 191A through 191G selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; one course from Philosophy 1 through 31.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; two courses from Philosophy 100A, 100B, 100C, and three courses from M101A through 191 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B; Political Science 10, 20, 30, 40, 50.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Political Science M105 through 179 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 46, 50A, 50B; Portuguese 1, 2, 3, 25 (or 26 or equivalent as determined by placement test), 46.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; five courses from Portuguese 130A through 191 selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 46, 50A, 50B; Spanish 1, 2, 3, 4, 5, 25 (or equivalent as determined by placement test), 42 or 44.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Spanish 120 and four courses from 130 through 191B selected in consultation with the undergraduate adviser.Required: Italian 1, 2, 3, 4, 5, 6, and one course from 42A, 42B, 42C, 46, 50A, 50B.Required: Italian 100, 199B (senior capstone course), and three courses from 103A through 191 selected in consultation with the undergraduate adviser; Theater 101A, 101B, and three courses from 102A through M114 selected in consultation with the undergraduate adviser.",
"Japanese BA","Required: Japanese 6 or 10 or equivalent, and 50 or 70 or Asian 30.Required: Eleven courses as follows: (1) five language courses in modern or premodern language or texts selected from Japanese 100A and 100B and 100C or 100S, 100R, 101A and 101B and 101C or 101S, 103A, 103B, 104, 105A, 105B, 110A, 110B, M120, CM123, 130A, 130B, 140A, 140B, 140C, C149, 165, C180, (2) one literature course selected from C150, 151, 154, M156, 157, C159, 170, 172, 174, or 191A, (3) three elective courses on Japan selected from C112, CM122, CM123, CM127, 155, CM160, 161, 165, C171, 175, C182, 191B, 191C, or from items 1 and 2 above not used to fulfill another requirement, and (4) two additional upper-division elective courses within the department but outside Japan.",
"Jewish Studies BA","Required: Jewish Studies M10 or two courses selected from Ancient Near East 10W, Middle Eastern Studies M50A, M50B, 50C and demonstrated proficiency equivalent to level 3 at UCLA in one foreign language (Arabic, Armenian, Hebrew) in consultation with the department.Required: Eleven courses, including (1) three selected from Hebrew 102A, 102B, 102C, 103A, 103B, 103C, 110A, 110B, 111A, 111B, 111C, 120, 125, 130, 135, C140 — students may substitute another upper-division language (Judeo-Arabic, Judeo-Persian, Ladino, Yiddish) if they can demonstrate its integral role in their specific course of study, (2) two courses selected from Jewish Studies M182A, M182B, M182C, M184A, and (3) six elective courses selected from Hebrew or Jewish studies or from Ancient Near East M135, 162, English 111A, 111C, German 109, History 191F, Iranian 130, 131, Political Science 121A, 132A, M132B, Semitics 130, Study of Religion 120, Yiddish 101A, 101B, 101C, 102A, 102B, 102C, 121A, 121B, 121C, 130, 131A, 131B, 131C.",
"Korean BA","Required: Korean 6 or 6A or 10 or equivalent, and 50 or M60 or Asian 30.Required: Eleven courses as follows: (1) five language courses selected from Korean 100A, 100B, 100C, 101A and 101B and 101C or 101I, 102A, 102B, 102C, 103A, 103B, 103C, 104A, 104B, 104C, C105A, C105B, C105C, 106A, 106B, 106C, 107A, 107B, 107C, CM120, 165, 176, 178, (2) one literature course selected from 130A, 130B, 150, or C151, (3) three elective courses on Korea selected from CM127, C149, 154, 155, CM160, 165, 172, 175, 177, 180A, 180B, 180C, 181, 182, 183, 184A, 184B, 185, M186, 187, 191A, 191B, or from items 1 and 2 above not used to fulfill another requirement, and (4) two additional upper-division elective courses within the department but outside Korea.",
"Latin BA","Required: Classics 10, 20; Latin 1, 2, 3, 20, or equivalent. Latin 16 may be substituted for Latin 1, 2, 3.Required: (1) Seven upper-division Latin courses, including course 110; Latin 197 and 199 may be applied only by petition; (2) three upper-division courses in classical civilization and/or ancient history (History 112A through M112E, 113A, 113B, 114A, 114B, 114C, 115). Courses in related fields not offered by the department may be substituted by petition and with approval of the faculty undergraduate adviser; (3) one capstone seminar (Classics 191).",
"Latin American Studies BA","Required: (1) International and Area Studies 1, (2) one area studies course from History 8A (or 8AH), 8B, 8C, 97E, International and Area Studies 50, Portuguese 40B, 46, Spanish 44, (3) two international politics and markets courses from Economics 1, 2, Geography 4, 6, Political Science 50 (or 50R), Sociology 1, (4) two international societies and cultures courses from Anthropology 3, Comparative Literature 1D (or 2DW or 4DW), Ethnomusicology 5, 25, Geography 3, History 2B, 22, World Arts and Cultures 20, 33, and (5) two area-related foreign language sequences through the intermediate level (e.g., Portuguese 3 or 11B, Spanish 5 or 7A, an indigenous language of Latin America such as Nahuatl, Quechua, or Zapotec, through that level). The language requirement can also be fulfilled in part or in total by taking a placement examination given through the appropriate language department. Each course must be taken for a letter grade.",
"Applied Linguistics BA","Required: Anthropology 4 or Psychology 10, Linguistics 11, 20, and completion of the equivalent of the sixth term of one foreign language.Required: Ten upper-division courses as follows: Linguistics 102 (or 103), 119A (or 120A), 119B (or 120B), 120C, 130 or C140, two courses selected from Linguistics 104, M141, 144, M146, 170, 191B, two upper-division elective courses taught in the Linguistics Department, and five courses selected from Anthropology 151, M152P, 152Q, 152R, 153, 154P, 154Q, M156, M157W, 159, Applied Linguistics 102W, 153, Arabic 180, 181, Armenian 110, Chicana and Chicano Studies 164SL, M167SL, M170SL, Communication 119, M125, M144A, French 105, German 140, Hebrew 180A, 180B, Iranian 131, Linguistics 114, M116, M146, M176A, M176B, M177, M178, Portuguese 100A, 100B, Slavic CM114, Spanish 100A, 100B, 160.",
"Linguistics BA","Required: Linguistics 20; two of the following: Philosophy 31, Psychology 10 (or 100A), one cultural anthropology course; completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language.Required: Eleven upper-division or graduate courses, including Linguistics 103, 120A, 120B, two courses from 110, 120C, and 130 (or 132), and two courses from 165A, 165B, 165C (students may substitute courses 200A, 200B, and 200C for 165A, 165B, and 165C respectively if they receive grades of A in 120A, 120B, and 120C respectively and have consent of instructor). Courses 165A, 165B, and 165C, or 200A, 200B, and 200C, are recommended for students planning linguistics graduate work. The remaining four courses are electives, three of which must be linguistics courses (no more than one course from 197, 198A, and 199 may be applied toward the major). The other course may be in linguistics or in another field as follows: Classics 180, English 113A, 113B, Philosophy C127A, C127B, 172, Psychology 120A, 124E, 133C, or an upper-division course in a foreign language beyond the sixth term. Nonlinguistics courses not on the list may be used as electives only in consultation with an adviser.",
"Linguistics and Anthropology BA","Required: Linguistics 20, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language (at least three terms must be in a language other than those in the Romance, Slavic, and Germanic families). Anthropology 4 is strongly recommended, when offered.Required: Eleven upper-division courses as follows: Linguistics 102 (or 103), 110, 119A (or 120A), 119B (or 120B or 127), M146; two courses from 114, 120C, 144, 160, 161, 170; one course from Anthropology 151 or Sociology M124A; and three upper-division electives from the Anthropology 130 series (one course only), the 150 series (one course only), the 160 series (one course only), Sociology M124A, CM125. Linguistics 165A and 165B (or 200A and 200B with grades of A in 120A and 120B respectively and consent of instructor) are recommended for students planning to pursue graduate work in linguistics.",
"Linguistics and Asian Languages and Cultures BA","Required: Completion of the sixth term in either Chinese, Japanese, or Korean; Linguistics 20; one cultural anthropology course; either Chinese 50, Japanese 50, or Korean 50, as appropriate; completion of the equivalent of the third term of a second foreign language.Required: Linguistics 103, 110, 120A, 120B, 165A (or 165B), one upper-division elective in linguistics; for the classical Japanese track: Japanese 100A, 100B, four courses from CM122, 140A, 140B, 140C, C149; for the modern Japanese track: Japanese 100A, 100B, 100C, three courses from M120, CM122, CM123 (or CM127), 130B; for the classical Chinese track: Chinese 110A, 110B, 110C, three courses from 140A through 140D, 165, 187; for the modern Chinese track: Chinese 100A, 100B, 100C, three courses from 101A, 101B, 130A, 130B; for the Korean track: Korean 100A, 100B, 100C, three courses from 101A, 101B, 101C, CM120, CM127, 130A, 130B.",
"Linguistics and Computer Science BA","Required: Linguistics 20, Computer Science 31, 32, 33, 35L, Mathematics 31A, 31B, 61, Philosophy 31, completion of the third term in one foreign language.Required: Eleven upper-division courses as follows: Linguistics 102 (or 103), 119A (or 120A), 120B, 120C, 165A (or 165B or 165C), 185A, one course selected from 104, 127, 132, 165A, 165B, 165C, 180, 185B; Computer Science 131, 132 or 161, 180, 181.",
"Linguistics and English BA","Required: Linguistics 20, English 4W (or 4HW), 10A, 10B, 10C, Philosophy 31, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language.Required: Twelve upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A or 165B (or 200A or 200B with a grade of A in 120A or 120B respectively and consent of instructor), one upper-division elective in linguistics, English 113A, 113B, 120, and three electives from 140A, 140B, 150A, 150B, 151, the 150 series (one course only), the 160 series (one course only), the 170 series (one course only).",
"Linguistics and French BA","Required: Linguistics 20, French 1, 2, 3, 4, 5, 6, 12, completion of the equivalent of the third term of a second foreign language.Required: Eleven upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A (or 165B), one upper-division elective in linguistics, French 100, 101, 105, 107, and one elective upper-division French course beyond the sixth term.",
"Linguistics and Italian BA","Required: Linguistics 20, Italian 1, 2, 3, 4, 5, 6, Latin 1, 2, 3, one cultural anthropology course.Required: Twelve upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A or 165B (or 200A or 200B with a grade of A in 120A or 120B respectively and consent of instructor), two upper-division electives in linguistics, Italian 102A, 180, and three upper-division electives in Italian.",
"Linguistics and Philosophy BA","Required: Linguistics 20, Philosophy 31, and two courses from 1, 6, 7, 21, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language.Required: Twelve upper-division courses as follows: Linguistics 102 (or 103), 119A (or 120A), 120B, 120C, 165B (or 165C or 180), one upper-division elective in linguistics; six upper-division courses in philosophy, including at least five from Philosophy 124 through 135, 170, 172, 174, 180, 181, 184, of which at least two must be from C127A, C127B, 172.",
"Linguistics and Psychology BA","Required: Linguistics 20, Psychology 10, 85, 100A, 100B, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language. Program in Computing 10A is strongly recommended.Required: Eleven upper-division courses (six in linguistics and five in psychology) as follows: Linguistics 102 (or 103), 119A (or 120A), 119B (or 120B), two of 130, 132, and C135, and one upper-division elective in linguistics (multiple-listed courses may not be applied). Linguistics 165A, 165B, and whichever of 130, 132, and C135 has not been used to satisfy the requirement, are strongly recommended. Also required are Psychology 120A, 121, 133B, and two electives to be selected from 115, 116, M117C, 118, M119L, 124A, 124B, 124C, 124E, 130, 133C, 133E, 133F, 186A, 186B.",
"Linguistics and Scandinavian Languages BA","Required: Linguistics 20, Scandinavian 1, 2, and 3, or 11, 12, and 13, or 21, 22, and 23, completion of the equivalent of the third term of a second foreign language.Required: Eleven upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A or 165B (or 200A or 200B with a grade of A in 120A or 120B respectively and consent of instructor), one upper-division elective in linguistics, three courses from Scandinavian 105A, 105B, and 105C, or 106A, 106B, and 106C, or 107A, 107B, and 107C, 197 (in a topic related to Scandinavian linguistics, under the direction of a Scandinavian or Linguistics faculty member), and two upper-division electives in Scandinavian.",
"Linguistics and Spanish BA","Required: Linguistics 20, Spanish 1, 2, 3, 4, 5, 25 (or 27), 42, 44, completion of the equivalent of the third term of a second foreign language.Required: Twelve upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A (or 165B), one additional upper-division course in linguistics, Spanish 100A, 100B, 119, 160, and two additional upper-division Spanish courses.",
"Linguistics and Anthropology BA","Required: Linguistics 20, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language (at least three terms must be in a language other than those in the Romance, Slavic, and Germanic families). Anthropology 4 is strongly recommended, when offered.Required: Eleven upper-division courses as follows: Linguistics 102 (or 103), 110, 119A (or 120A), 119B (or 120B or 127), M146; two courses from 114, 120C, 144, 160, 161, 170; one course from Anthropology 151 or Sociology M124A; and three upper-division electives from the Anthropology 130 series (one course only), the 150 series (one course only), the 160 series (one course only), Sociology M124A, CM125. Linguistics 165A and 165B (or 200A and 200B with grades of A in 120A and 120B respectively and consent of instructor) are recommended for students planning to pursue graduate work in linguistics.",
"Linguistics and Asian Languages and Cultures BA","Required: Completion of the sixth term in either Chinese, Japanese, or Korean; Linguistics 20; one cultural anthropology course; either Chinese 50, Japanese 50, or Korean 50, as appropriate; completion of the equivalent of the third term of a second foreign language.Required: Linguistics 103, 110, 120A, 120B, 165A (or 165B), one upper-division elective in linguistics; for the classical Japanese track: Japanese 100A, 100B, four courses from CM122, 140A, 140B, 140C, C149; for the modern Japanese track: Japanese 100A, 100B, 100C, three courses from M120, CM122, CM123 (or CM127), 130B; for the classical Chinese track: Chinese 110A, 110B, 110C, three courses from 140A through 140D, 165, 187; for the modern Chinese track: Chinese 100A, 100B, 100C, three courses from 101A, 101B, 130A, 130B; for the Korean track: Korean 100A, 100B, 100C, three courses from 101A, 101B, 101C, CM120, CM127, 130A, 130B.",
"Linguistics and Computer Science BA","Required: Linguistics 20, Computer Science 31, 32, 33, 35L, Mathematics 31A, 31B, 61, Philosophy 31, completion of the third term in one foreign language.Required: Eleven upper-division courses as follows: Linguistics 102 (or 103), 119A (or 120A), 120B, 120C, 165A (or 165B or 165C), 185A, one course selected from 104, 127, 132, 165A, 165B, 165C, 180, 185B; Computer Science 131, 132 or 161, 180, 181.",
"Linguistics and English BA","Required: Linguistics 20, English 4W (or 4HW), 10A, 10B, 10C, Philosophy 31, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language.Required: Twelve upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A or 165B (or 200A or 200B with a grade of A in 120A or 120B respectively and consent of instructor), one upper-division elective in linguistics, English 113A, 113B, 120, and three electives from 140A, 140B, 150A, 150B, 151, the 150 series (one course only), the 160 series (one course only), the 170 series (one course only).",
"Linguistics and French BA","Required: Linguistics 20, French 1, 2, 3, 4, 5, 6, 12, completion of the equivalent of the third term of a second foreign language.Required: Eleven upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A (or 165B), one upper-division elective in linguistics, French 100, 101, 105, 107, and one elective upper-division French course beyond the sixth term.",
"Linguistics and Italian BA","Required: Linguistics 20, Italian 1, 2, 3, 4, 5, 6, Latin 1, 2, 3, one cultural anthropology course.Required: Twelve upper-division courses as follows: Linguistics 103, 110, 120A, 120B, 165A or 165B (or 200A or 200B with a grade of A in 120A or 120B respectively and consent of instructor), two upper-division electives in linguistics, Italian 102A, 180, and three upper-division electives in Italian.",
"Linguistics and Philosophy BA","Required: Linguistics 20, Philosophy 31, and two courses from 1, 6, 7, 21, completion of the equivalent of the sixth term of one foreign language and the third term of a second foreign language.Required: Twelve upper-division courses as follows: Linguistics 102 (or 103), 119A (or 120A), 120B, 120C, 165B (or 165C or 180), one upper-division elective in linguistics; six upper-division courses in philosophy, including at least five from Philosophy 124 through 135, 170, 172, 174, 180, 181, 184, of which at least two must be from C127A, C127B, 172.",
